Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Libya,2000,3000,4500,7000,9000,10000,20000,29200,30000,28866,27655,26648,25829,25036,24481,23942,23236,22484,21761,20999,20330,22600,22186,21784,21425,21300,22800,22800,22800,22800,22800,22800,22800,22800,22800,29500,29500,29500,29500,29500,36000,36000,36000,39126,39126,41464,41464,43663.4,44271,46422,47097,48014,48472,48363,48363,48363,48363,48363,48363,48363,48363,48363,48363
Nigeria,150,300,400,500,1000,3000,3500,3550,4000,5000,9300,11680,15000,20000,20900,20200,19445,18700,18200,17400,16700,16500,16750,16550,16650,16600,16066,15980,16000,16000,17100,20000,20990.5,20990.5,20990.5,20828,20828,20828,22500,29000,29000,31506,34349,35254.87,35876.23,36220,37200,37200,37200,37200,37200,36247,37139,37071,37448,37062,37453,37453,36972,36890,36910,37050,36967
Sudans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,262.1,262.1,262.1,600,6000,6000,6000,6405,6402,6615,6700,6700,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
Russia2,23579,23500,29000,32000,33000,35000,38000,36000,60000,58000,58000,55286,52412,49339,56341,58878,59900,59000,58438,59878,63000,63000,63000,63000,63000,62685,62983,61663,63161,69384,65280,64990,64580,64279,63938,63659,54086,55143,55757,59217,59639,64578,73949,77345,76772,77712,79306,72970,75954,76650,77403,77403,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
Azerbaijan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1178,1178,1178,1178,1178,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
Belarus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Kazakhstan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5417,5417,25020,25020,25020,39620,39620,39620,39620,39828,39828,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
Turkmenistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,546,546,546,546,546,546,546,546,546,546,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Ukraine,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
Uzbekistan`,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594,594
