Index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,181.1,330.9,436.9,504.3,557.8,558.7,718.7,825.7,904.2,946.4,1029.1,785.4,1062.3,1097.3,1008.6,982.6,1075.092,1152.284,1161.162,1153.811,1019.866,797.8,704.5,660.9,695.4,672.377,673.883,648.225,672.91,727.3,783.482,803,756.5,747.3,752.5,752.5,805.7,846.1,827.3,749.633,795.992,776.6,729.9,942.4,1311.4,1352,1368.83,1371.6,1356,1216,1189.839,1161.608,1199.795,1202.614,1192.833,1157.082,1146.295,1058.693,1040.102,1023.2,898.738,910.877,1020.258
Angola,1.113,1.798,7.961,13.354,15.323,11.128,10.7,9.074,12.583,40.404,83.889,109.597,138.952,152.238,168.315,162.581,135.27,177.575,166.082,136.685,150,137.5,126,177.5,206,231.637,282.301,357.655,452.13,452.663,473.767,496.956,549.145,504.471,550.306,607.148,679.221,713.594,712.478,720.833,736.089,740.376,894.172,901.2114634,1020.304811,1241.376,1384.6,1694.6,1896.343,1738.884,1757.6,1618.047,1704.001,1701.203,1653.688,1767.068,1721.62,1632.238,1473.267,1372.848,1271.46,1124.457,1136.711
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.422,18.356,46.962,87.874,109.068,114.121,125.186,133.767,180.425,170.871,172.525,170.795,164.307,153.973,140.355,119.096,107.945,100,92.514,100,100,100,100.656,80,73.866,66.578,70.027,82.318,87.482,85.34,83.82,72.912,64.395,59.244,59.754,66.184,74.605,92.641,91.645,75.627,69,71.526,73.495,67.74,61.23
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.329,158.497,180,150,145,130.497,120,120,119.485,117.568,105.54,103.57,128.951,128.514,120.575,128,118,106.219,95.649,87.153
Congo,1.1,2.1,2.5,2.2,1.7,1.5,1.3,1,0.9,0.5,0,0,0,0,0,0,39.831,35.395,33,49.005,55.831,65.479,82.34,87,117,113,116,123,137,155,156,157,176.284,190.021,181.11,179.588,206.811,246.079,248.782,264.339,269.437,254.99,245.337,230.833,221.159,235.959,260.388,219.46,244.367,271.763,308.146,289.431,262.87,239.789,241.459,234.136,225.008,262.73,323.466,329.197,299.936,266.646,261.604
Egypt,61.316,71.27,88.092,105.71,119.546,122.134,118.053,108,142.34,241.282,325.193,301.499,216.713,172.696,143.685,215.4,324.738,417.279,483.959,506.992,601.101,600.356,646.877,726.337,784.891,887.992,810.386,898.403,844.065,850.056,869.679,868.521,873.625,893.309,886.223,878.97,843.997,822.571,790.081,755.656,694.999,639.331,628.139,618.532,594.61,578.878,531.297,521.879,549.899,560.312,561.422,571.715,564.295,562.603,573.868,578.356,544.383,530.863,538.849,510.641,486.735,447.515,451.874
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557,2.585,12.931,49.642,74.184,88.524,115.962,172.58,199.475,225.501,328.69,306.049,281.781,296.237,302.162,262.488,240.972,228.805,247.143,211.19,201.498,186.789,163.205,128.6,120.179,109.583,113.575,93.32,81.295
Gabon,15.4,14.9,16.4,17.7,21,24.9,28.6,69,91.9,99.8,108.8,114.6,125.2,150.2,201.5,223,222.843,222.004,208.709,203.372,174.5,151.4,155.1,155.4,157.4,171.7,164.7,154.5,157.027,204.3,274.387,295.2,291.966,312.3,296.945,349.726,364.758,369.222,352.356,324.979,281.33,264.262,257.097,264.935,263.959,261.628,227.714,232.467,228.279,228.258,241.114,241.32,227.255,220.247,214.913,218.312,220.693,210.066,193.447,217.831,207.419,181.168,190.547
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,1.3,1.3,1.3,0.7,0.3,0,0,0,0,0,0,0,0,6,6,6.751,7,7,7,7,7,7,7,7,7,7,7,7,7,7.764,65.515,71.32,97.482,101.222,102.652,86.642,147.266,170.345,197.666,182.858,150.816,141.753
Libya,0,18.2,182.3,441.8,862.4,1218.8,1501.1,1740.5,2602.1,3109.1,3318,2760.8,2239.4,2174.9,1521.3,1479.8,1932.603,2063.365,1982.51,2091.703,1831.58,1217.8,1136,1121.059,984.6,997.745,1308,972.504,1022.72,1129.178,1389.11,1405.946,1432.702,1360.992,1389.827,1399.038,1394.005,1395.764,1449.028,1287.185,1347.2,1323.46,1200.9,1431.9,1580.7,1693.2,1751.186,1673.9,1721.484,1473.937,1486.605,489.456,1449.994,993.346,479.899,400.31,388.945,807.594,946.219,1090.806,389.334,1207.091,981.282
Nigeria,17.4,46,67.5,76.5,120.2,274.2,417.6,319.1,141.3,540.3,1083.1,1531.2,1815.7,2054.3,2255,1783.2,2066.786,2085.099,1896.992,2301.995,2058,1439.6,1287,1235.5,1388,1498.9,1466.6,1323,1341.349,1716.3,1726.701,1893.1,1957,1905.2,1820.877,1842.594,1863.067,1876.741,1939.046,1781.5,2053.6,2017.6,1801.7,2166.341,2327.457,2365.945,2233.884,2059.262,2017.366,1841.984,2048.269,1974.808,1954.074,1753.717,1807.047,1748.191,1427.262,1535.639,1601.61,1737.407,1493.226,1322.759,1137.913
Sudans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,5.384,10,58.3,178.628,208.148,237.589,265.123,291.456,293.427,356.077,483.132,456.836,475.222,462.195,428.044,119.254,232.255,285.627,278.578,250.21,221.575,223.279,237.348,230.366,221.236,205.49
Russia,2683.1,2999.3,3364.8,3662.7,4040.7,4396.7,4794.6,5210.2,5575.3,5948.4,6315.596,6662.237,7033.544,7543.216,8211.643,8801.974,9281.493,9791.158,10229.495,10488.484,10759.826,10907.297,11002.107,11045.018,10961.147,10694.783,11015.721,11152.736,11094.868,10817.784,10099.696,9020.653,7754.318,6910.857,6184.109,6033.73,5861.878,5955.825,5885.936,5905.912,6246.233,6727.413,7402.082,8122.181,8803.148,9045.447,9242.411,9437.038,9356.355,9493.214,9694.09,9787.37,9952.577,10046.551,10086.753,10111.132,10292.249,10189.537,10354.89,10389.874,9409.298,9619.395,9756.049
Azerbaijan,60.6,67.8,76,82.8,91.3,99.3,108.3,117.7,126,134.4,142.713,150.544,158.939,170.442,185.54,198.88,209.725,221.248,231.133,236.97,243.113,246.473,248.596,249.55,247.649,241.655,249.474,258.857,256.284,247.63,239.724,227.692,217.131,200.519,185.916,178.667,177.066,178.926,224.132,272.099,267.857,294.762,305.441,308.526,308.637,436.638,648.479,839.666,896.262,1014.088,981.121,871.975,817.164,814.718,793.134,786.688,769.784,729.162,725.047,678.496,611.265,590.299,558.356
Kazakhstan,107.1,119.8,134.4,146.2,161.3,175.5,191.4,208,222.6,237.5,252.181,266.017,280.834,301.184,327.881,351.438,370.599,390.964,408.453,418.778,429.622,435.52,439.304,441.045,437.665,427.027,436.808,444.424,456.705,438.007,432.94,436.806,430.23,389.486,349.766,362.584,427.077,476.989,488.89,545.581,622.675,735.734,855.329,919.233,1021.336,1022.247,1091.14,1111.066,1178.055,1305.005,1382.83,1377.712,1344.497,1402.397,1371.526,1343.027,1320.292,1468.855,1564.488,1587.252,1470.005,1488.707,1464.022
OPEC,8107.413,8758.198,9871.961,10887.454,12321.423,13630.828,15019,16024.674,17853.883,19845.004,22276.789,24109.397,25592.052,29023.138,28827.615,25412.581,28724.135,29152.263,27680.694,28801.423,24834.709,20518.12,17441.068,15521.164,14808.722,13966.467,16660.718,15999.725,18198,19667.047,21220.323,21357.169,23091.562,23519.741,23927.832,24021.569,24313.114,25074.938,27194.056,25662.436,27227.118,26458.592,24224.377,26691.44946,29533.63181,30772.308,31014.20769,30514.893,31505.957,28491.886,28829.806,29646.867,31924.78,31024.734,30075.003,31061.71,32467.373,31636.264,31216.587,29375.778,25659.265,26363.078,28894.931
OECD,8214.952,8512.337,8776.643,9065.975,9223.072,9499.114,10075.845,10745.414,11154.328,11451.813,12071.726,12266.441,12347.469,12355.438,11885.426,11549.33,11566.173,12393.472,13403.149,14202.686,14739.376,15173.632,15904.876,16337.767,17037.723,17280.204,16645.903,16711.636,16475.064,15727.865,15729.403,16106.114,16128.781,16072.917,16739.121,16798.192,17351.059,17568.198,17280.65,16727.654,17160.154,16927.968,16862.993,16543.79,15961.182,15139.927,14532.314,14244.054,13614.88,13378.876,13211.736,13013.554,13597.612,14389.835,15665.283,16132.227,15321.976,15578.506,17045.54,18238.633,17320.823,17150.787,17596.636
